species,lon,lat
Heracleum sosnowskyi,36.06206298341989,56.09018146220468
Heracleum sosnowskyi,36.2409140032787,55.929310925259
Heracleum sosnowskyi,36.373257446873694,55.9478399325668
Heracleum sosnowskyi,36.0040318595827,55.37509099705189
Heracleum sosnowskyi,36.029157275387995,55.5368481459252
Heracleum sosnowskyi,36.7381442774365,56.223477094492296
Heracleum sosnowskyi,36.7582961905168,56.448829764981696
Heracleum sosnowskyi,35.5416929290854,56.103832080885795
Heracleum sosnowskyi,36.0630670009413,55.408125028447294
Heracleum sosnowskyi,36.955944718374,56.39240082653689
Heracleum sosnowskyi,35.7136677280832,55.5388058630002
Heracleum sosnowskyi,36.275629107697206,55.63281764331959
Heracleum sosnowskyi,35.42403715109369,56.01745544761081
Heracleum sosnowskyi,36.08806482453199,55.9253189615009
Heracleum sosnowskyi,36.68245636237119,56.1521752903574
Heracleum sosnowskyi,36.7983678512953,56.25453713378171
Heracleum sosnowskyi,36.0199450511232,55.8214855619091
Heracleum sosnowskyi,36.384913110251794,55.91816509114601
Heracleum sosnowskyi,35.4793981832796,56.042653126640495
Heracleum sosnowskyi,35.56442009940799,55.982978838003
Heracleum sosnowskyi,36.7304680655488,56.44969831042871
Heracleum sosnowskyi,35.8580511963057,55.54596960970979
Heracleum sosnowskyi,35.6661386298939,56.00555639351269
Heracleum sosnowskyi,36.5527586612832,55.9362960441271
Heracleum sosnowskyi,36.358734720531,55.4354314180255
Heracleum sosnowskyi,35.7393919277952,56.086345895946394
Heracleum sosnowskyi,36.2471300561072,55.7996076519715
Heracleum sosnowskyi,36.3181834611978,55.583967118188
Heracleum sosnowskyi,36.8345293407565,56.29205970579079
Heracleum sosnowskyi,36.2181001086331,56.09833856857009
Heracleum sosnowskyi,35.6360037115021,55.62954800873361
Heracleum sosnowskyi,36.14535777674,55.9062362829781
Heracleum sosnowskyi,36.6915991760611,55.61141875996778
Heracleum sosnowskyi,37.0090522176857,56.49640600383398
Heracleum sosnowskyi,36.1154900217471,55.85174050292189
Heracleum sosnowskyi,36.537336905174,55.864004450644906
Heracleum sosnowskyi,36.0854230786122,55.4219005009074
Heracleum sosnowskyi,36.3029038546292,55.910274903564
Heracleum sosnowskyi,36.7916848695611,55.9389894704877
Heracleum sosnowskyi,36.2324486102152,55.786523759963494
Heracleum sosnowskyi,36.2049465866157,55.795859847853706
Heracleum sosnowskyi,36.8833636097428,55.9388613818473
Heracleum sosnowskyi,36.0771371074915,56.0399806257053
Heracleum sosnowskyi,37.0175533596998,56.387873366862394
Heracleum sosnowskyi,35.9902643883908,55.8093244615546
Heracleum sosnowskyi,36.6585032317387,56.3448903407166
Heracleum sosnowskyi,36.97822446428759,56.3633619281105
Heracleum sosnowskyi,35.89062109029109,56.0267397273565
Heracleum sosnowskyi,36.0166944641782,55.43548333228999
Heracleum sosnowskyi,35.974178645727896,56.1003945392766
Heracleum sosnowskyi,36.3654914286865,55.71338697103191
Heracleum sosnowskyi,35.6852532109669,55.673581487995285
Heracleum sosnowskyi,36.35951557038731,55.42139110421609
Heracleum sosnowskyi,35.730715004294,56.107920508624595
Heracleum sosnowskyi,36.3180505602852,55.914312592452184
Heracleum sosnowskyi,35.8277775547903,56.12454407375001
Heracleum sosnowskyi,35.611637721004,55.95479617510339
Heracleum sosnowskyi,36.2337501576437,56.0826550225113
Heracleum sosnowskyi,36.38175720662979,55.8948194624483
Heracleum sosnowskyi,35.36821695834599,56.16586650263701
Heracleum sosnowskyi,36.3605799737867,55.5377233679391
Heracleum sosnowskyi,36.464192043927696,55.9049728614085
Heracleum sosnowskyi,36.497480657206594,55.79211695853079
Heracleum sosnowskyi,36.76517041038609,56.2796455164274
Heracleum sosnowskyi,35.3816222149932,55.54071368029211
Heracleum sosnowskyi,36.4993186277525,56.3129331710291
Heracleum sosnowskyi,36.2321444199291,55.4282053914657
